,constituency,name,age,cases,assets,liabilities,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,party,votes,gender,uuid,Year,education_category
2103,Bommanahalli,Sathish Reddy .M,51,0,1224981101.0,472438558.0,"SSLC , RSHS High School Madivala, Bangalore",GEN,B.B.M.P(South),"Social Service, Agriculture Iindustrial","Agriculture, Business and Industrialist","Social Work / Activism, Agriculture / Farming","Agriculture / Farming, Business / Entrepreneurship, Construction / Real Estate",BJP,113574.0,M,YsK2LEUn,2023,Higher Secondary Education
2104,Bommanahalli,Sathish Reddy .M,51,0,1224981101.0,472438558.0,"SSLC , RSHS High School Madivala, Bangalore",GEN,B.B.M.P(South),"Social Service, Agriculture Iindustrial","Agriculture, Business and Industrialist","Social Work / Activism, Agriculture / Farming","Agriculture / Farming, Business / Entrepreneurship, Construction / Real Estate",IND,359.0,M,GG9XsKFR,2023,Higher Secondary Education
2105,Nelamangala,Sapthagiri Meghavath Shankar Nayak,41,1,650449202.0,4556900.0,MBA from Cardiff University UK in 2007,SC,Bangalore Rural,Self Employed,House Wife,Business / Entrepreneurship,Cound't Classify,BJP,30582.0,M,Wt64R3Ju,2023,Postgraduate
2106,Mangalore,Sathish Kumpala,54,0,12254000.0,7419539.0,Karnataka grade college,GEN,Dakshina Kannada,488820,603044,Cound't Classify,Cound't Classify,BJP,60429.0,M,MxT5m8RX,2023,Unknown
2107,Gulbarga Rural,Satish B Shinde,37,0,1240000.0,,"SSLC from Karnataka Secondary Education Examination Board Bengaluru at Sri. Tippanna Kanteppa Heroor High School Devala Ghanagapur, Kalaburagi in 1998-99",SC,Gulbarga,Social Worker with Former,Unmarried,Social Work / Activism,Cound't Classify,IND,578.0,M,VMvDxvSE,2023,Secondary Education
2108,Kagwad,Satteppa Dasharath Kaleli,42,0,7905000.0,1460000.0,SSLC Pass,GEN,Belgaum,Retired soldier Agriculture,House wife,"Military / Defense, Agriculture / Farming",Not Given,IND,259.0,M,DJWfgB3L,2023,Secondary Education
2109,Hubli-Dharwad Central,Saulam Joseph,63,0,4785530.0,346000.0,"Master in Laws, Karnataka State Law University, Navanagar, Hubli - March 2022",GEN,Dharwad,"Income Tax Inspector (Retired), Pensioner, Advocate",Govt School Teacher Mentor,Law / Judiciary,Education / Academia,IND,300.0,M,b9uiday7,2023,Postgraduate
2110,Dharwad,Sattevva Jamanal,40,1,420000.0,,4th Class,GEN,Dharwad,House Wife,Business,Cound't Classify,Business / Entrepreneurship,KRPP,128.0,M,jxwdZoJb,2023,Primary Education
2111,Mandya,Sene Shivaramu H.C.,58,0,9455000.0,2350000.0,PUC PES College Mandya in 1982,GEN,Mandya,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,IND,323.0,F,YbmFajif,2023,Higher Secondary Education
2112,Kanakapura,Shadakshari A N,45,0,56432000.0,50000.0,"PUC Year 1995-1996, Degree Incomplete, Rural College Kanakapura",GEN,Ramanagaram,Agriculture and LIC Agent,House Wife,"Agriculture / Farming, Banking / Finance",Cound't Classify,IND,55.0,M,KE5B8WG2,2023,Higher Secondary Education
2113,Hanur,Selvaraj .S,53,0,101000.0,,"MA, KSOU Mysore 2014-15",GEN,Chamarajnagar,Agriculture,House wife,Agriculture / Farming,Not Given,IND,361.0,M,CMQEZV6x,2023,Postgraduate
2114,Byadgi,Sayed Faheem Gudageri,26,0,11153000.0,780000.0,Bachelor of Civil Enginerring - VTU - Belagavi - 2021,GEN,Haveri,Private Job,No,Information Technology,Cound't Classify,IMP,202.0,M,6RFXZxcF,2023,Graduate
2115,Mayakonda,Savitha Bai Malleshanaik,37,0,43046800.0,836849.0,"2nd PUC ,Government PU College Kukkuwada Davanagere Tq ,2003-04",SC,Davangere,Boutique shop and Tailoring,Business,Arts / Entertainment,Business / Entrepreneurship,IND,544.0,M,UUfyPRSh,2023,Higher Secondary Education
2116,Yemkanmardi,Satish Laxmanrao Jarkiholi,60,2,1752983696.0,122944347.0,"PUC From J.S.S. Arts, Science Commerce College, Gokak, Year-1981",ST,Belgaum,Agriculturist Business,Agriculturist Business,"Agriculture / Farming, Business / Entrepreneurship","Agriculture / Farming, Business / Entrepreneurship",INC,100290.0,M,Jqf3efPJ,2023,Higher Secondary Education
2117,Chamaraja,Seema.G.S.,44,0,486396.0,,LLB - JSS LAW COLLEGE MYSORE IN 2002,GEN,Mysore,Full time Party Worker,Party Worker,Politics / Public Service,Politics / Public Service,SUCIC,80.0,F,h9oNQSBC,2023,Graduate
2118,Hubli-Dharwad Central,Shailendra Patil,46,0,12010000.0,1800000.0,"Diploma, BSC, LLB, MBA in 2015 Belgaum",GEN,Dharwad,Social Service Business,House Wife,"Business / Entrepreneurship, Social Work / Activism",Cound't Classify,KRS,62.0,M,85rvKzkD,2023,Postgraduate
2119,Dharwad,Shakeel Abdulsattar Dodvad,40,0,104182000.0,,7th Std -paased year on 1996 Govt Urdu primary school No 7 Rasulapura Oni Dharwad,GEN,Dharwad,Business Social Service,Unmarried,"Business / Entrepreneurship, Social Work / Activism",Cound't Classify,IND,879.0,M,RTUeqgCx,2023,Primary Education
2120,Yeshvanthapura,Shakila Banu,56,0,130000.0,,Unknown,GEN,Bangalore Urban,Social Worker,House Wife,Social Work / Activism,Cound't Classify,YSP,164.0,M,GNfDNMEa,2023,Unknown
2121,Pulakeshinagar,Shaktivelu,44,0,13614500.0,,Pre University,SC,B.B.M.P(North),Agriculturist,House Wife,Agriculture / Farming,Cound't Classify,IND,183.0,M,KscCzm2o,2023,Higher Secondary Education
2122,Belgaum Rural,Shakuntala A Iliger,37,0,2835440.0,,"Bachelor of Arts, (Kuvempu University, Dharwad) - 2014 and Diploma in Education - (Sri Shivayogishwara Teachers Training Institute, Inchala N-10) - 2010",GEN,Belgaum,Tailoring,Security Guard (Nisa Industries),Arts / Entertainment,Law Enforcement / Security,KRS,110.0,F,joztRc9N,2023,Graduate
2123,Belthangady,Shaileesh R .J.,43,0,5820550.0,1908060.0,"Diploma in Civil Engineering from N.R.A.M Polytechnic, Nitte in 2001",GEN,Dakshina Kannada,Civil Engineering,Civil Contractor,Engineering / Technology,Construction / Real Estate,TVP,308.0,M,WFfKcuGL,2023,Diploma Holder
2124,Puttur,Shaffi Bellare,41,4,194147.0,240000.0,PUC from Government PU College Bellare In 2005,GEN,Dakshina Kannada,Business,House Wife,Business / Entrepreneurship,Cound't Classify,SDPI,2788.0,M,3Poadj82,2023,Higher Secondary Education
2125,Nippani,Shakuntala Ashok Teli,56,0,9950000.0,600000.0,"5th standard pass, Govt, Primary School no.3, Madihal, Dharwad 1973",GEN,Belgaum,House Hold work,Pensioner,Not Given,Not Given,KRPP,646.0,M,LRTUa87j,2023,Primary Education
2126,Dasarahalli,Savitha T. P.,49,0,8909500.0,4412995.0,10th From Karnataka High School Examination Centre in April 1991,GEN,Bangalore Urban,House Wife,Sales Man,Cound't Classify,Business / Entrepreneurship,IND,185.0,M,bBqQVVjg,2023,Secondary Education
2127,Basavanagudi,Satyalaxmi Rao,62,0,22112631.0,3766231.0,"Master of Business Administration, Indira Gandhi National Open University New Delhi In Year 2000",GEN,B.B.M.P(South),Retired Manager Bank of India,Retired Mechanical Engineer,Banking / Finance,Military / Defense,AAP,767.0,F,DgEGPayj,2023,Postgraduate
2128,Shivajinagar,Shanawaz Ahmed,52,0,140000.0,,9th Std from Quwathul Islam High School Benson Town Bangalore 560046 in April 1986,GEN,B.B.M.P(Central),Business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,46.0,M,HqxaghX6,2023,Secondary Education
2129,Chincholi,Shamrao,52,0,311000.0,,PUC in 1993,SC,Gulbarga,Private Employee,House Work,Business / Entrepreneurship,Cound't Classify,IND,390.0,M,dvFmagei,2023,Higher Secondary Education
2130,Sedam,Shankar Bandi Sulepeth,41,0,8370000.0,2200000.0,"B.A- Gulbarga University, LLB- Gulbarga Univeristy, MBA- Equi University (ICFAI)",GEN,Gulbarga,Lawyer,House Wife,Law / Judiciary,Cound't Classify,AAP,1441.0,M,QdiE89uN,2023,Postgraduate
2131,Navalgund,Shankar Basanagouda Patil Munenakoppa,54,0,184322345.0,,"Bachelor of Arts, Incomplete",GEN,Dharwad,Transport and Commercial Business,Commercial Business,"Transportation / Logistics, Business / Entrepreneurship",Business / Entrepreneurship,BJP,63882.0,M,EJh84X2p,2023,Graduate
2132,Sandur,Shakuntala Devi Lakshmi Priya,35,0,50000.0,,Diploma in Mechanical Engineering Govt Polytechnic Bellary Passed In 2010,ST,Bellary,Farming,Unmarried,Agriculture / Farming,Cound't Classify,BSP,933.0,M,UfvESFhu,2023,Diploma Holder
2133,Afzalpur,Shamaray Baksar Hosamani,49,0,1400000.0,140000.0,4th from Govt. High School Shivapura Taluk Afzalpura Dist Kalburgi -1981,GEN,Gulbarga,Farmer,Housewife,Agriculture / Farming,Education / Academia,RPIA,254.0,M,ahdxxqaS,2023,Primary Education
2134,Davanagere South,Shamanur Shivashankarappa,91,1,3127529622.0,177404944.0,"S.S.L.C. from Government High School, Davangere in 1949",GEN,Davangere,Businessman,Deceased,Business / Entrepreneurship,Cound't Classify,INC,84298.0,M,3Pt2zRH2,2023,Higher Secondary Education
2135,Raybag,Shambhu Kallolikar,59,0,122630343.0,6000000.0,MA from Jawaharlal Nehru University New Delhi in 1989-90,SC,Belgaum,ef secreataries Additional Chief Secretaries SW and WE dep,Grant secrtaries RDPR tamil nadu govt,Cound't Classify,Politics / Public Service,IND,54930.0,M,68q6tviK,2023,Postgraduate
2136,Nagthan,Shankar Chavan,56,0,26147187.0,878700.0,Padavi purva college 1991 year,SC,Bijapur,Farmer,NO,Agriculture / Farming,Not Given,IND,617.0,M,KXzuSXwT,2023,Higher Secondary Education
2137,Shiggaon,Shambulinga Hukkeri,27,0,3603382.0,,9th class from Siddaganga High School Katsandra passed in 2009,GEN,Haveri,Sailing Vegetables,Not Given,Transportation / Logistics,Cound't Classify,KRS,152.0,M,ivixvMHM,2023,Secondary Education
2138,Bailhongal,Shankar Bharamappa Madalagi,51,2,41013256.0,2008767.0,B A (II) in 1989 Anjuman College Dharwad,GEN,Belgaum,Agriculture and LIC Agency,House Wife,"Agriculture / Farming, Banking / Finance",Cound't Classify,JD(S),9427.0,M,dEgEZjaH,2023,Graduate
2139,Yelburga,Shamidsab Yamanursab Mulla,50,0,8570120.0,,BA Dharwad University 1994,GEN,Koppal,Agriculture,Housewife,Agriculture / Farming,Education / Academia,IND,258.0,F,WLeX8fVS,2023,Graduate
2140,Kalghatgi,Shankar Ningappa Huddar,40,0,2115000.0,,"M.A.Political science-2013,H.S.K.P.U.Science college hobli",GEN,Dharwad,Business and social service,Principal,"Business / Entrepreneurship, Social Work / Activism",Education / Academia,IND,389.0,M,mbiZ9V7r,2023,Postgraduate
2141,Gangawati,Shankar Siddapur,31,0,1115500.0,400000.0,"BA from Shri Kolli Gageshwararav Gangayya Pra D College, Gangavati 2014 2015",GEN,Koppal,Agriculture,House wife,Agriculture / Farming,Not Given,BSP,190.0,M,MU2K7QZn,2023,Graduate
2142,Yelburga,Shankar Raddy Somaraddy,63,0,16418000.0,1200000.0,MSc from Karnataka University Dharawada in 1984,GEN,Koppal,Retired Professor,Housewife,Education / Academia,Education / Academia,IND,235.0,M,bLG3JRxi,2023,Postgraduate
2143,Navalgund,Shankrappa Rudrappa Ambali,55,1,29034000.0,1025000.0,Bachelor of Commerce from ASS Commerce College Gadag in 1990,GEN,Dharwad,Farmer,House Wife,Agriculture / Farming,Cound't Classify,IND,,M,eByiJBog,2023,Graduate
2144,Gangawati,Shanmukha Valmiki,37,0,235300.0,190000.0,"10th from Govt, Boys Pre-Graduation College (Junior) Gangavathi- 2011-12",GEN,Koppal,Daily wage Social servent,House wife,Social Work / Activism,Not Given,IND,93.0,M,JJEuksdF,2023,Secondary Education
2145,Belgaum Rural,Shankargowda Patil,48,2,424635455.0,18300000.0,"PUC From Janta College, K H Balekundri, Year-1994",GEN,Belgaum,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,JD(S),738.0,M,FAVqtx6o,2023,Higher Secondary Education
2146,Bellary,Shanmukha Naveen Babu,35,0,7532660.0,278541.0,"MSW course from Satvama College, Sri. Krishnadeveray University, Kappgal Road, Ballari in 2013",ST,Bellary,Business,Home Maker,Business / Entrepreneurship,Not Given,IND,327.0,M,QQb4rSgD,2023,Postgraduate
2147,Raybag,Shankar Subrav Khatedar,61,0,4702500.0,6900000.0,"7th Class April 1973 From Sahakari Hiriya Prathamika Kannada Maduri School, Sankeshwara",SC,Belgaum,Retired Bank Employee,Govt. Teacher,Banking / Finance,Education / Academia,AAP,1057.0,M,47F4jP8F,2023,Primary Education
2148,Kushtagi,Shantaraja Parshwanath Gogi Jain,58,0,1261910000.0,2615000.0,SSLC Pass from Govt. Pre-University College Khushtagi,GEN,Koppal,Business,House work,Business / Entrepreneurship,Cound't Classify,NVCP,65.0,M,f6afnyFA,2023,Higher Secondary Education
2149,Gurmitkal,Sharana Gowda Kandakur,41,3,25519688.0,3053900.0,"B.A. from Gulbarga University, Chandrashekhar Education Society Degree College of Arts, Science BBM, Yadgiri Karnataka in 2005",GEN,Yadgir,Business and Agriculture,Retail Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship,JD(S),72297.0,M,XndBTAgH,2023,Graduate
2150,Gangawati,Sharanappa Sajjihola,45,0,3160300.0,,"LLB from Scab Law College, Raichur, University of Gulbarga In 2004",GEN,Koppal,ADVOCATE AGRICULTURE,N.A.,"Law / Judiciary, Agriculture / Farming",Not Given,AAP,415.0,M,4xpDtj6f,2023,Graduate
2151,Shimoga Rural,Sharada Puryanaik,52,0,30098390.0,13903581.0,1st PUC from DVS Senior College Shimogga 1987-88,SC,Shimoga,PETROL BANK PARTNERSHIP,DIED,Banking / Finance,Cound't Classify,JD(S),86340.0,M,HpHFqM9F,2023,Higher Secondary Education
2152,Honnali,Shanthana Gowda.D.G.,74,2,203970523.0,42268521.0,"B.Sc. in 1968-69, P.C. Jabin Science College, Karnataka University, Hubli.",GEN,Davangere,Agriculture,House wife,Agriculture / Farming,Not Given,INC,92392.0,M,XRUCNXLh,2023,Graduate
2153,Gulbarga Dakshin,Sharanabasappa Pappa,53,0,9904354.0,3387000.0,Diploma in Pharmacy HKE Society College of Pharmacy Year of Passing 1991,GEN,Gulbarga,Medical Store,Medical Store,Medicine / Healthcare,Medicine / Healthcare,IND,1050.0,M,ftFustp9,2023,Diploma Holder
2154,Mayakonda,Shantha Bai,46,0,126500.0,,Govt Hiriya Prathamika Shale Bharath Colony Davanagele 1991-1992,SC,Davangere,House Wife,Business,Cound't Classify,Business / Entrepreneurship,KRPP,223.0,M,GWUdCEeH,2023,Primary Education
2155,Mahalakshmi Layout,Shanthala Damle,50,1,389829409.0,,"Master of Business Administration (MBA) from Pamplin School of Business, Virginia Tech, USA, Course was Completed in 2005",GEN,B.B.M.P(North),Social and Political Activist,Retired,Social Work / Activism,Not Given,AAP,1600.0,M,jyGJgENS,2023,Postgraduate
2156,Shahapur,Sharanabasappa Darshanapur,63,0,152729887.0,9139612.0,"Bachelor of Engineering (BE-Civil) from HKE Society (PDA), Gulbarga Gulbaraga University Gulbaraga In 1985",GEN,Yadgir,"Agriculture Business, MLA",Business,"Agriculture / Farming, Politics / Public Service",Business / Entrepreneurship,INC,78353.0,M,F2yrLXNq,2023,Graduate
2157,Bhadravati,Sharada Appaji,60,0,47340511.0,9785099.0,8th Std. Government High Svhool Muthigere Mandya Taluk,GEN,Shimoga,Housewife and Agriculture,Dead,"Hospitality / Tourism, Agriculture / Farming",Cound't Classify,JD(S),63503.0,M,UpvFYaRX,2023,Primary Education
2158,Yadgir,Sharanabasappa Kamalapuru,30,0,510000.0,3500000.0,SSLC- Sri Varamarutshwara High school Kandaganur Bijapur Dist. in 2010,GEN,Yadgir,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming,KRS,199.0,F,UaambxiK,2023,Higher Secondary Education
2159,Chittapur,Sharanu P. Sugur,44,0,763595.0,295000.0,B.A. Completed in the year 2011-12 from Gulbarga University Kalaburagi,SC,Gulbarga,Praja Suddi Daily News Paper Editor,Household,Media / Journalism,Not Given,BSP,878.0,M,CEejYXfZ,2023,Graduate
2160,Kudligi,Sharanesha. M.,39,0,60000.0,10000.0,SSLC from Sri Honnambika Govt. High School in 2000,ST,Bellary,Agriculture,Housewife,Agriculture / Farming,Education / Academia,UPP,602.0,M,KeLvbyhi,2023,Higher Secondary Education
2161,Hosakote,Sharath Kumar K,32,0,1725678.0,,"B.Com, Sree Jagathguru Renukacharya College, Year 2011",GEN,Bangalore Rural,Business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,64.0,F,XHRciLtK,2023,Graduate
2162,Hosakote,Sharath Kumar Bachegowda,41,4,1077459876.0,,"MS, USA 2005-06",GEN,Bangalore Rural,Social Service and Businessman,Social Service and Business woman,"Social Work / Activism, Business / Entrepreneurship","Social Work / Activism, Business / Entrepreneurship",INC,107220.0,M,BtzfXmcN,2023,Postgraduate
2163,Kushtagi,Sharanappa Siddappa Kumbar,38,0,5450000.0,2000000.0,SSLC From Siddeshwara High School Hosur Tq Badami in 2001-02,GEN,Koppal,Agriculture Business,House work,"Agriculture / Farming, Business / Entrepreneurship",Cound't Classify,JD(S),1048.0,,BcT9SCPA,2023,Higher Secondary Education
2164,Badami,Shanthagouda Thirthgouda Patil,52,0,48541539.0,9317249.0,BA Graduate -Karnataka University Dharwad-1991,GEN,Bagalkot,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,BJP,56120.0,M,7SQQEDwg,2023,Graduate
2165,Gangawati,Sharanappa Singanal,28,0,6864000.0,1025000.0,B.E (E E) from DBIT Bangalore In 2016,GEN,Koppal,Singleness Private Servent,House wife,Unknown,Not Given,UPP,371.0,M,MV9M2u9e,2023,Graduate
2166,Hosakote,Sharath Bachegowda,28,0,1131650.0,20000.0,2nd PUC Padavi Purva Shikshana July 2012,GEN,Bangalore Rural,"Supervisor, Royal Cabs Company, Hennu Cross",Not Given,Transportation / Logistics,Cound't Classify,RJNHP,157.0,M,7VUNC4LT,2023,Higher Secondary Education
2167,Basavakalyan,Sharanu Salagar,47,1,46520057.0,4607167.0,M.Ed from Gulbarga University Gulbarga in 2011,GEN,Bidar,Social Work,State Government Employee,Social Work / Activism,Law Enforcement / Security,BJP,92920.0,M,7jWv2Juo,2023,Postgraduate
2168,Athani,Shashikant Padasalagi,59,0,2090000.0,,"MA from Viswa Vidyalaya, Mysore, 2014",GEN,Belgaum,Agriculture,Not Given,Agriculture / Farming,Cound't Classify,JD(S),1265.0,M,EdBDZexq,2023,Postgraduate
2169,Gauribidanur,Shashikumar C L,26,0,1645000.0,225418.0,B.Sc From AES National College Bangalore University In June 2018,GEN,Chikkaballapur,Farmer,Unmarried,Agriculture / Farming,Cound't Classify,IND,206.0,M,Kynu8VuY,2023,Graduate
2170,Bidar,Shashikumar S. Patil,49,2,17500000.0,,"10 2 (PUC) from Karnataka State Open University in March 2015, SSLC from Venkateshwar Correspondence High School Mudbi in April 2012",GEN,Bidar,Agriculture and Business,House Wife Agriculture,"Agriculture / Farming, Business / Entrepreneurship",Agriculture / Farming,IND,469.0,M,kRjkg6h6,2023,Higher Secondary Education
2171,Shorapur,Shashikumar,29,0,1770000.0,350000.0,BA in Sri Prabhu College Shorapura 2017,ST,Yadgir,Agriculture,no,Agriculture / Farming,Cound't Classify,IND,370.0,M,NnpgQDUV,2023,Graduate
2172,Sira,Shashikumar R,37,0,13346000.0,1700000.0,"2nd puc passed from SRP collage,Sira during the year 2003-04",GEN,Tumkur,"Business, Agriculture",House wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given,AAP,583.0,M,ExUUJa3P,2023,Higher Secondary Education
2173,Gulbarga Dakshin,Shashidhar. B.K. Naganahalli,44,0,1425562.0,50000.0,M.Ed. from Gulbarga University Kalburgi,GEN,Gulbarga,Social service,Social service,Social Work / Activism,Social Work / Activism,IND,497.0,M,ayeFo2Jq,2023,Postgraduate
2174,Chikmagalur,Shashidhara B.G,39,0,15175000.0,5096574.0,PUC (HEPS) In 2000-2002 from Shri Lakshmi Pre-University College Devnur ITI -Fitter In 2002-2004 from Shree Chandrashekar Bharathi Industerial Training Center Malekal Tirupathi Arasikere.,GEN,Chikmagalur,Proprietor-Auto Net Insurance Consultants,House Wife,"Business / Entrepreneurship, Media / Journalism",Cound't Classify,IND,392.0,M,Xm4LjYQZ,2023,Higher Secondary Education
2175,Dharwad,Shashikiran Nadakatti,47,1,10085971.0,4795402.0,SSLC-Karnataka Secondary Eduaction Examination Board -1991 April,GEN,Dharwad,Business,Not Given,Business / Entrepreneurship,Cound't Classify,IND,250.0,M,faZbq2Lr,2023,Secondary Education
2176,Koppal,Shashidhar.K.M,38,0,2285000.0,200000.0,PUC 2002-04,GEN,Koppal,Business,House wife,Business / Entrepreneurship,Not Given,IND,260.0,F,VffFsg9d,2023,Higher Secondary Education
2177,Shiggaon,Shashidhar Yeligar,59,0,530975639.0,70218028.0,SSLC KE Board School Dharwad in 1980,GEN,Haveri,Agriculture and Business,House Wife and Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship,JD(S),13928.0,F,72CPDGnt,2023,Higher Secondary Education
