,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
2393,Hanur,T. Muthuraju,IND,45,0,126000.0,,Graduates,"BA,LLA From Vidyawardak and Mahajan Law College, Mysore University, Year-2005",GEN,Chamarajnagar,Lawyer,Govt Job,Law / Judiciary,Politics / Public Service
2394,Hosadurga,T. Manjunath,IND,47,0,193186073.0,110233867.0,Higher Secondary Education,PUC- D.R.M College Davangere 1994,GEN,Chitradurga,Real Estate,Agriculture,Construction / Real Estate,Agriculture / Farming
2395,Chikkaballapur,T. Venkata Sivudu,IND,40,1,725930500.0,180000.0,Secondary Education,SSLC Pass,GEN,Chikkaballapur,Business,Housewife,Business / Entrepreneurship,Education / Academia
2396,Bellary,T H Mallikarjuna,IND,34,0,5000.0,130000.0,Postgraduates,M.A. from Hampi University and B.A. from Gulbarga university Bellary Sarala Devi college in 2011,ST,Bellary,Agriculture,Housewife,Agriculture / Farming,Education / Academia
2397,Sringeri,T.D.Rajegowda,INC,63,0,328053245.0,,Graduates,"B.Com. From Bandakar Graduate College, Mangalore in 1980",GEN,Chikmagalur,"Landlord , Planter , Partnership Firm Partner","Landlord , Planter , Partnership Firm Partner","Agriculture / Farming, Construction / Real Estate","Agriculture / Farming, Construction / Real Estate"
2398,Pavagada,T.Hanumantharaya,BSP,42,0,29500.0,355000.0,Secondary Education,"SSLC Thirumala Raghavendra Proudashale, Mangalawad Pawagad Tq",SC,Tumkur,Social Service,Labor,Social Work / Activism,Unknown
2399,Challakere,T. Raghumurthy,INC,59,0,221827134.0,,Graduates,"BE ,Civil ,Government B.D.T College ,Davangere Mysuru University in 1985",ST,Chitradurga,"Agriculture , Social Service","House Wife , Business","Agriculture / Farming, Social Work / Activism",Business / Entrepreneurship
2400,Chamaraja,T.S. Suresh,IND,60,0,25480230.0,1408037.0,Graduates,BE Civil Engineering from Mysore University in 1988,GEN,Mysore,Civil engineering consultancy Agriculture,Not Given,"Engineering / Technology, Agriculture / Farming",Cound't Classify
2401,Sagar,T.N.Sreenivas,IND,63,0,16912516.0,1200000.0,Graduates,B.Com Mysore University. LB SBS College Sagar,GEN,Shimoga,Social Service Worker,Lawyer,Social Work / Activism,Law / Judiciary
2402,Doddaballapur,T.Venkataramanaiah (Appakaranahalli T.Venkatesh),INC,62,1,155259706.0,8719336.0,Secondary Education,"SSLC Pass, Govt. High School, Doddabelavangala Village, Doddaballapura Tq., Bengaluru Rural Dist. 561204 in the year 1980",GEN,Bangalore Rural,Business and Agriculture,Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship
2403,Kanakagiri,Tangadagi Shivaraj Sangappa,INC,53,0,170242177.0,82200342.0,Graduates,"B.Sc ,SVM Collage 1991-92",SC,Koppal,Agriculture and Business,Housewife and Busines partner,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship
2404,Shrirangapattana,Taggahalli Venkatesh,IND,54,2,2057000.0,1120000.0,Higher Secondary Education,"I-PUC from P.E.S. College, Mandya in 1986",GEN,Mandya,Farmer,House Wife,Agriculture / Farming,Cound't Classify
2405,Chamrajpet,T.R.Jagannatha Rao,Bharatiya Prajagala Kalyana Paksha,61,0,4967000.0,,Higher Secondary Education,PUC completed in 1981-82.,GEN,B.B.M.P(Central),Business Transport,House wife,"Business / Entrepreneurship, Transportation / Logistics",Not Given
2406,Yeshvanthapura,T.N.Javarayi Gowda,JD(S),64,3,2058830109.0,764184515.0,Primary Education,Matriculation,GEN,Bangalore Urban,Business,Homemakar,Business / Entrepreneurship,Not Given
2407,Babaleshwar,Talewad Patil,IND,53,0,29257721.0,,Postgraduates,BHMS 1995 Bharatesh Homeopathic Medical College Belagavi Karnataka University Dharwad and LLB 2021 Anjuman Law College Vijayapura Karnataka Law university Navanagar hubli,GEN,Bijapur,Lawyer,Doctor,Law / Judiciary,Medicine / Healthcare
2408,Nagamangala,T.Suresh,IND,50,1,7545919.0,50000.0,Primary Education,"9th Class From JJC Nagamangala Tq. Mandya Dist., Year-1987-88",GEN,Mandya,Agriculture,House wife,Agriculture / Farming,Not Given
2409,Molakalmuru,T.Shashikumar,IND,31,0,1351000.0,,Postgraduates,LLB Saraswathi Law College Chitradurga Hubball University 2012-2017,ST,Chitradurga,"Advocate, Village Panchayath member, social service political",Housewife,"Law / Judiciary, Politics / Public Service, Social Work / Activism",Education / Academia
2410,Narasimharaja,Tanveer Sait,INC,56,1,90426367.0,4498975.0,Graduates,"Bachelor of Business Management from University of Mysuru, Vidya Vardhaka College of Commerce and Management, Mysuru in 1991",GEN,Mysore,"Legislator, Business",Business Women,"Politics / Public Service, Business / Entrepreneurship",Business / Entrepreneurship
2411,Hosadurga,Tanu Chikkanna Yadav,Karnataka Rashtra Samithi,33,1,13000.0,,Higher Secondary Education,"PUC, Govt Pre-University College, Devapura, Hosadurga - 2020",GEN,Chitradurga,No,Not Given,Cound't Classify,Cound't Classify
2412,Srinivaspur,T.N. Venkatashivareddy,IND,43,0,13000.0,,Vocational Training,ITI 1997-2000 Shathinagar,GEN,Kolar,Agriculture,Housewife,Agriculture / Farming,Education / Academia
2413,Basavakalyan,Taterao Apparao Patil,IND,61,0,1150000.0,,Higher Secondary Education,Pre-University College,GEN,Bidar,Social Service,No,Social Work / Activism,Cound't Classify
2414,Krishnaraja,Tejaswi Nagalingaswamy,IND,32,1,12017.0,,Higher Secondary Education,"PUC, JSS College, Ooty Road, 2008",GEN,Mysore,Social Service,No,Social Work / Activism,Cound't Classify
2415,Kolar Gold Field,Thangaraj. P,CPI(M),48,0,811600.0,,Postgraduates,"Bachelor of Science - 1997-2000, Bachelor of Law - 2004-2007 - Bangalore University",SC,Kolar,Social Activist Municipal Councillor,Not Given,"Social Work / Activism, Politics / Public Service",Cound't Classify
2416,Holenarasipur,Tharesha H S,BSP,45,0,955000.0,,Secondary Education,"SSLC, Pass 1998 Shri Chethan vasati Prouda shale holenarasipura town",GEN,Hassan,Self Business,Not Given,Business / Entrepreneurship,Cound't Classify
2417,Channagiri,Tejaswi V. Patel,JD(S),50,0,234538039.0,2475000.0,Graduates,"B.A.-ARG Degree College,davangere-1994",GEN,Davangere,Agriculture,Housewife,Agriculture / Farming,Education / Academia
2418,Shivajinagar,Tanveer Ahmed,IND,58,2,1130000.0,,Secondary Education,"7th Pass from Obedulla School Shivajinagar Bengaluru 560051, Karnataka",GEN,B.B.M.P(Central),Social Worker,House Wife,Social Work / Activism,Cound't Classify
2419,Ranibennur,Talawar Shivakumar,Indian Movement Party,38,0,5110000.0,943000.0,Postgraduates,"Master of Social Work [MSW] Year 2007, Karnataka University Dharwad",GEN,Haveri,Business agriculture,Not Given,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify
2420,Bidar South,Tukaram Goure,Karnataka Rashtra Samithi,47,0,2390000.0,,Graduates,"B.A Graduate, Siddhartha Graduate College, Bidar",GEN,Bidar,Social service,House wife,Social Work / Activism,Not Given
2421,Mudhol,Timmapur Ramappa Balappa,INC,61,1,5856080.0,3469000.0,Postgraduates,"BA LLB(Spl)-1991-KPES Law College, Dharwad",SC,Bagalkot,Advocate,House Wife,Law / Judiciary,Cound't Classify
2422,B.T.M.Layout,Thyagaraj,BSP,39,0,1372500.0,,Secondary Education,SSLC United Machine High school passed in 2002,GEN,B.B.M.P(South),Social Service Worker,Daily Wages,Social Work / Activism,Unknown
2423,Hangal,Udachappa Uddanakal,Karnataka Rashtra Samithi,38,3,2977000.0,970000.0,Vocational Training,ITI Pass- Govt. ITI College Akkialur in July 2005,GEN,Haveri,Agriculture and Business,House wife,"Agriculture / Farming, Business / Entrepreneurship",Not Given
2424,Haveri,Tukaram H Malagi,JD(S),61,0,4350998.0,,Higher Secondary Education,"SSLC Krupadanom High School Mumtura Road Hubli In 1979 Pass, PUC- Mahantha Swami Arts, Science And Commerce College, Humsabavi ( Dharwad )",SC,Haveri,Agriculture,House work,Agriculture / Farming,Cound't Classify
2425,Raichur Rural,Tipparaju Hawaldar,BJP,46,1,108733410.0,18351618.0,Graduates,"B.Ed from Gulbarga University Gulbarga in 2006, TCH from KSEB in 1997",ST,Raichur,Social Worker Agriculturist (Farmer),Agriculturist (Farmer) Business (Partner in family owned business),"Social Work / Activism, Agriculture / Farming","Agriculture / Farming, Business / Entrepreneurship"
2426,Hosadurga,Thippeswamy M,JD(S),49,0,32080270.0,16021000.0,Graduates,B.Com All India Institute of technology and management Channi Tamilnadu 2007-2010,GEN,Chitradurga,Businessman,House wife,Business / Entrepreneurship,Not Given
2427,Jevargi,Tippanna M Kinnur,IND,41,0,1000000.0,,Postgraduates,"BA, B.Ed , K.C.T Bed College ,passing year -2008",GEN,Gulbarga,Furniture Work,Tailor,Arts / Entertainment,Arts / Entertainment
2428,Hosadurga,Thimmappa K,BSP,51,0,3672000.0,380000.0,Higher Secondary Education,"2 nd P U C,-B.G.B.D,Collage,hosadurga,Chitradurga-1996",GEN,Chitradurga,Agriculture and business,Housewife,"Business / Entrepreneurship, Agriculture / Farming",Education / Academia
2429,Bhalki,Tukaram Hajare,AAP,32,0,162000.0,,Secondary Education,"SSLC from Sangmeshwar High School Kesar Jawalga, Bhalki in 2006",GEN,Bidar,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
2430,Basavanagudi,U.B.Venkatesh,INC,68,0,521110621.0,313487581.0,Graduates,"BA from University of Mysuru, Sir M Visvesvaraya Evening College, Chikkaballapur, Karnataka in 1977",GEN,B.B.M.P(South),Business,House Wife,Business / Entrepreneurship,Cound't Classify
2431,Mangalore,U.T. Khader Fareed,INC,54,3,69767074.0,6980832.0,Graduates,"L.L.B, Degree. (Mangalore University) S.D.M Law College, Mangalore in Year 2003",GEN,Dakshina Kannada,Advocate,Business,Law / Judiciary,Business / Entrepreneurship
2432,Chickpet,Uday B. Garudachar,BJP,63,3,2415933555.0,507445439.0,Graduates,Bachelor of Engineering (Electronics) from Bangalore University in 1987,GEN,B.B.M.P(Central),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
2433,Yeshvanthapura,Uday Kumar,Uttama Prajaakeeya Party,51,0,639000.0,375000.0,Secondary Education,"9 th standard from VSS residential high school , sadanapura, hunsur tq, mysore dist (1993)",GEN,Bangalore Urban,Auto driver,Tailor,Transportation / Logistics,Arts / Entertainment
2434,Maddur,Udaya K M,INC,48,3,1026371651.0,32245730.0,Secondary Education,"SSLC From S.C.M.M. High School, Somanahalli-1991",GEN,Mandya,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
2435,Karkal,Udaya Shetty,INC,49,0,633814698.0,,Postgraduates,"M.Tech From Manipal Institute of Technology-Vishveshwaraiah Technological University, Belgaum 2000",GEN,Udupi,Business Man,Business Woman,Business / Entrepreneurship,Business / Entrepreneurship
2436,Hirekerur,Ujaneshwar Basavannappa Banakar,INC,63,0,57439041.0,891826.0,Graduates,LLB University Law College Dharwad in 1984,GEN,Haveri,Lawyer and Agriculture,House Wife,"Law / Judiciary, Agriculture / Farming",Cound't Classify
2437,Moodabidri,Umanatha Kotian,BJP,62,1,49311245.0,5136730.0,Secondary Education,SSLC 1979,GEN,Dakshina Kannada,Social Service,Housewife,Social Work / Activism,Education / Academia
2438,Malavalli,Uma. J.,IND,43,0,12945000.0,1250000.0,Higher Secondary Education,"PUC, DED, SEMM, DED College, Sommanahalli,Maddur Taluk,Year-.2009",SC,Mandya,House wife,First grade Govt.servants social welfare department,Not Given,"Politics / Public Service, Social Work / Activism"
2439,Nelamangala,Umadevi,IND,49,0,214945000.0,4300000.0,Postgraduates,M.A. from Bbanglore University 2005,SC,Bangalore Rural,"Social Service ,House wife",Govt employee,"Politics / Public Service, Social Work / Activism",Law Enforcement / Security
2440,Bommanahalli,Umapathi Babu .N,BSP,48,0,11605000.0,30000.0,Secondary Education,SSLC 1991-1992 High school jaynagar 1th block bangalore,GEN,B.B.M.P(South),Own Business,Housewife,Business / Entrepreneurship,Education / Academia
2441,Vijayanagara,Umesha K,IND,40,0,1814301.0,260382.0,Higher Secondary Education,"PUC 1st year from Sarakaari Padavai Poorva Maha Vidhyalaya ,Chittawadgi in 2001-02",GEN,Bellary,Business,House Wife,Business / Entrepreneurship,Cound't Classify
2442,Hunsur,Umesh,IND,53,0,3424000.0,,Non-Traditional Education,"Night Class through Adult Education, Ranganatha Badavane, Kalkunike, Hunsur Taluk Mysore Dist. in 1987-1997",GEN,Mysore,Driver,Housewife,Transportation / Logistics,Education / Academia
2443,Bellary City,Uppar Anil Kumar,IND,30,0,1500996.0,,Higher Secondary Education,First PUC From Government Municipal Pre-Graduation College Bellary In 2012,GEN,Bellary,Farming,House Wife,Agriculture / Farming,Cound't Classify
2444,Sirsi,Upendra Pai,JD(S),55,0,115850040.0,7818979.0,Secondary Education,9th from Government high school 1985-86,GEN,Uttara Kannada,Agriculture and social service,house wife,"Agriculture / Farming, Social Work / Activism",Not Given
2445,Bhalki,Umesh Gunderao Pandre,IND,51,0,10159000.0,2600000.0,Graduates,"LLB from R V Bidappa Law College, Bidar, B.A from Channabasweshwar College, Bhalki Dist. Bidar",GEN,Bidar,Social Service and Agriculture,Agriculture,"Social Work / Activism, Agriculture / Farming",Agriculture / Farming
2446,Sirsi,Umesh Krishnappa Daivadnya,IND,49,0,514000.0,200000.0,Postgraduates,"MA Sociology from Kannada University Hampi in 2018, PGDHRM from Karnataka State Open University in 2015",GEN,Uttara Kannada,Advocate,Housewife,Law / Judiciary,Education / Academia
2447,Bommanahalli,Umapathy Srinivasa Gowda,INC,36,1,742202471.0,983116975.0,Graduates,B.Com from Bangalore University in 2010,GEN,B.B.M.P(South),"Production and Distribution of Kannada Movies, Aggregates Manufacturer",Production and Distribution of Kannada Movies,Arts / Entertainment,Arts / Entertainment
2448,Aland,Umar Farooq,Karnataka Janaseve Party,30,0,95000.0,,Secondary Education,9th from Govt. Urdu School Atnoor,GEN,Gulbarga,Private work,Not Given,Not Given,Cound't Classify
2449,Sringeri,Umesh B.A,CPI(ML) Red Star,40,0,1976232.0,300000.0,Primary Education,"6th, Govt School, Chikamangalore",GEN,Chikmagalur,Agriculture and Daily Wages,Daily wages,Agriculture / Farming,Unknown
2450,Arsikere,Umesh B M,Karnataka Rashtra Samithi,51,1,954000.0,1320000.0,Higher Secondary Education,"2nd Pre-University College in Kalpatharu PU College, Tipturu - 1991-92",GEN,Hassan,Agriculturist,Home Maker,Agriculture / Farming,Not Given
2451,Kampli,Uththanuru Nagaraj,BSP,46,0,1401000.0,,Secondary Education,"SSLC From U.J. School, Kudlagi Taluk In 1997",ST,Bellary,Agriculture,N.A.,Agriculture / Farming,Not Given
2452,Malleshwaram,Uthkarsh A,JD(S),27,0,353647980.0,52506670.0,Graduates,BE Civil MS Ramaiah Engineering College-2016-17,GEN,B.B.M.P(North),Business(Land developer),Not Given,"Business / Entrepreneurship, Construction / Real Estate",Cound't Classify
2453,Nagthan,V D Katakadhond,Hindustan Janta Party,35,0,584290000.0,590000000.0,Graduates,B.Com from Karnataka University Dharwad in 2008,SC,Bijapur,"Agricultural, Social Work","Agricultural, Business","Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Business / Entrepreneurship"
2454,Gandhi Nagar,V Narayanaswamy,JD(S),68,0,485627334.0,28564254.0,Graduates,"Bachelor of Laws (LLB) from Babu Jagajeevanram Law College, Bangalore University, in April 2010, Bachelor of Academic Law from Bangalore University in April 2001",GEN,B.B.M.P(Central),Social Worker,Social Worker,Social Work / Activism,Social Work / Activism
2455,Pulakeshinagar,V J Sanjay Kumar,IND,75,0,900000.0,,Graduates,Bachelor of Commerce in 2000,SC,B.B.M.P(North),Freight Forwarding,Not Given,Transportation / Logistics,Cound't Classify
2456,Nippani,Uttam Raosaheb Patil,NCP,45,0,94849236.0,50833559.0,Higher Secondary Education,PUC 2nd Year G I Bagewadi Arts Science and commerce college nippani 1997,GEN,Belgaum,Agriculturist,Business Agriculture,Agriculture / Farming,"Business / Entrepreneurship, Agriculture / Farming"
2457,Shimoga,V Hanumashetty,IND,60,0,774909.0,29250.0,Secondary Education,"8th Class, Vidyodaya Junior College, T Narasipura - 1980-81",GEN,Shimoga,Security Guard,House Wife,Law Enforcement / Security,Cound't Classify
2458,Nargund,Umesh Fakeerappa Talawar,IND,40,0,5433000.0,,Higher Secondary Education,PUC From Arts Siddeshwar Govt. Pre-Graduate College-2005,GEN,Gadag,Agriculture,Housewife,Agriculture / Farming,Education / Academia
2459,Hosakote,V Nitesh Kumar,IND,32,0,280000.0,,Primary Education,9th Class Pass,GEN,Bangalore Rural,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
2460,Kolar Gold Field,V. Kalavathi,IND,60,0,,,Higher Secondary Education,"PUC,Subhashini Womens College ,KGF in 1995",SC,Kolar,House Wife,Not Given,Cound't Classify,Cound't Classify
2461,Devanahalli,V.Poojapa,IND,55,0,51000.0,7500000.0,Secondary Education,SSLC from Government School 1990,SC,Bangalore Rural,Agriculture,Not Given,Agriculture / Farming,Cound't Classify
2462,Ramanagaram,V. Swamy,BSP,45,0,620000.0,,Graduates,"H Hombegouda Memorial Law College, Mysore University, Mandya 2003",GEN,Ramanagaram,Advocate work,Housewife,Law / Judiciary,Education / Academia
2463,Koratagere,V. Shanthakumar,IND,44,0,91000.0,,Higher Secondary Education,PUC Government Pre University College Koratagere in 1997-98,SC,Tumkur,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
2464,Mulbagal,V.Adinarayana,INC,46,2,203108648.0,87944776.0,Higher Secondary Education,"Karnataka Pre-University Board (PUC), Bagepalli Government College in 1994-95",SC,Kolar,Agriculture and Business,House wife and Business,"Agriculture / Farming, Business / Entrepreneurship","Business / Entrepreneurship, Not Given"
2465,Karkal,V Sunill Kumar,BJP,47,1,79837365.0,,Graduates,B.A. From Kuvempu University in 1997,GEN,Udupi,Agriculture and wage,Agriculture and house wife,Agriculture / Farming,Agriculture / Farming
2466,Tumkur Rural,V.A.Anand,Karnataka Rashtra Samithi,47,0,37854300.0,7950000.0,Higher Secondary Education,"PUC, Acharya College, Gauribidnur, 1993",GEN,Tumkur,Self Employed,Self Employed,Business / Entrepreneurship,Business / Entrepreneurship
2467,Padmanaba Nagar,V. Raghunatha Naidu,INC,59,0,520033078.0,10250000.0,Secondary Education,"7th Std. from Kamala Nehru School, Bangalore",GEN,B.B.M.P(South),Business,Business,Business / Entrepreneurship,Business / Entrepreneurship
2468,Varuna,V Somanna,BJP,72,1,482378620.0,74383907.0,Graduates,B A from V V Puram Evening College Bangalore in 1971-74,GEN,Mysore,Member of Karnataka Vidhan SabhaNo.166 Govindarajanagar Assembly Constituency and Minister of Housing and Infrastructure Development govt of Karnataka,Agriculture,"Politics / Public Service, Social Work / Activism",Agriculture / Farming
